word_order,lin_ptcl_order,synt_ptcl_priority,reading,synt.lin_alignment,synt.sem_alignment,lin.sem_alignment,ид,ди,тд,дт,ит,ти,item,value
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,1,1
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,1,1
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,1,2
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,1,7
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,2,2
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,2,2
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,2,6
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,2,4
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,2,2
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,3,2
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,3,2
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,3,7
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,3,5
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,4,7
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,4,7
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,4,6
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,4,6
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,4,4
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,4,7
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,5,2
SVO,ид,ид,ид,yes,yes,yes,1,NA,NA,NA,NA,NA,5,2
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,1,2
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,1,2
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,2,5
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,2,5
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,2,2
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,2,4
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,2,1
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,2,5
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,3,5
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,3,5
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,4,1
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,4,1
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,4,1
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,4,1
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,4,3
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,5,1
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,5,1
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,5,4
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,5,3
SVO,ид,ид,ди,yes,no,no,1,NA,NA,NA,NA,NA,5,7
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,1,7
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,1,7
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,1,2
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,1,4
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,1,6
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,2,3
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,2,3
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,2,7
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,2,4
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,3,6
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,3,6
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,4,3
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,4,3
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,4,4
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,4,6
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,4,6
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,5,5
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,5,5
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,5,7
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,5,5
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,5,1
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,5,7
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,6,7
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,6,7
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,6,1
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,6,2
SVO,ди,ди,ди,yes,yes,yes,NA,1,NA,NA,NA,NA,6,7
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,1,5
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,1,5
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,1,4
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,1,4
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,1,6
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,2,7
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,2,7
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,3,4
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,3,4
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,4,2
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,4,2
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,4,2
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,4,3
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,4,3
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,5,7
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,5,7
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,5,5
SVO,ди,ди,ид,yes,no,no,NA,1,NA,NA,NA,NA,5,3
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,1,5
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,1,5
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,1,7
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,1,5
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,2,5
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,2,5
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,3,2
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,3,2
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,4,1
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,4,1
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,4,5
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,4,4
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,5,1
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,5,1
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,6,7
OVS,ид,ди,ид,no,no,yes,NA,1,NA,NA,NA,NA,6,7
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,1,4
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,1,4
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,1,7
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,1,4
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,2,6
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,2,6
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,3,1
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,3,1
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,3,3
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,3,3
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,4,1
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,4,1
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,5,4
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,5,4
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,6,7
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,6,7
OVS,ид,ди,ди,no,yes,no,NA,1,NA,NA,NA,NA,6,6
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,1,7
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,1,7
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,2,1
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,2,1
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,3,1
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,3,1
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,4,1
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,4,1
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,4,6
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,4,4
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,5,1
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,5,1
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,5,6
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,6,5
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,6,5
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,6,1
OVS,ди,ид,ди,no,no,yes,1,NA,NA,NA,NA,NA,6,3
OVS,ди,ид,ид,no,yes,no,1,NA,NA,NA,NA,NA,1,4
OVS,ди,ид,ид,no,yes,no,1,NA,NA,NA,NA,NA,1,4
OVS,ди,ид,ид,no,yes,no,1,NA,NA,NA,NA,NA,1,4
OVS,ди,ид,ид,no,yes,no,1,NA,NA,NA,NA,NA,2,1
OVS,ди,ид,ид,no,yes,no,1,NA,NA,NA,NA,NA,2,1
OVS,ди,ид,ид,no,yes,no,1,NA,NA,NA,NA,NA,3,4
OVS,ди,ид,ид,no,yes,no,1,NA,NA,NA,NA,NA,3,4
OVS,ди,ид,ид,no,yes,no,1,NA,NA,NA,NA,NA,4,1
OVS,ди,ид,ид,no,yes,no,1,NA,NA,NA,NA,NA,4,1
OVS,ди,ид,ид,no,yes,no,1,NA,NA,NA,NA,NA,5,2
OVS,ди,ид,ид,no,yes,no,1,NA,NA,NA,NA,NA,5,2
OVS,ди,ид,ид,no,yes,no,1,NA,NA,NA,NA,NA,6,6
OVS,ди,ид,ид,no,yes,no,1,NA,NA,NA,NA,NA,6,6